KOD GUS;rok;powiat;podregion;województwo;ID powiat;ID podreg;ID woj.;id;XA03;XA04;XA05;XA06;XA17;XA19;XA20;XA21;XA28;XA29;XA30;XA45;XA46;XB03;XB14;XB17;XB23;XB24;XC05
5020101000.00;1995.00;Powiat bolesławiecki; jeleniogórsko-wałbrzyski;Dolnośląskie;201.00;1.00;2.00;1;670.00;8798.00;8127.00;NA;NA;25478.00;53179.00;10750.00;3970.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5020102000.00;1995.00;Powiat dzierżoniowski; jeleniogórsko-wałbrzyski;Dolnośląskie;202.00;1.00;2.00;2;553.00;13769.00;8915.00;NA;NA;29314.00;67108.00;17388.00;6089.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5020203000.00;1995.00;Powiat głogowski; legnicki;Dolnośląskie;203.00;2.00;2.00;3;577.00;11401.00;11514.00;NA;NA;27469.00;56537.00;7367.00;5558.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5020204000.00;1995.00;Powiat górowski; legnicki;Dolnośląskie;204.00;2.00;2.00;4;902.00;2706.00;2899.00;NA;NA;11354.00;21315.00;5157.00;1414.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5020105000.00;1995.00;Powiat jaworski; jeleniogórsko-wałbrzyski;Dolnośląskie;205.00;1.00;2.00;5;522.00;5039.00;4807.00;NA;NA;15979.00;31540.00;7395.00;2483.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5020106000.00;1995.00;Powiat jeleniogórski; jeleniogórsko-wałbrzyski;Dolnośląskie;206.00;1.00;2.00;6;380.00;6768.00;6853.00;NA;NA;17627.00;40158.00;9898.00;4478.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5020107000.00;1995.00;Powiat kamiennogórski; jeleniogórsko-wałbrzyski;Dolnośląskie;207.00;1.00;2.00;7;203.00;5897.00;4620.00;NA;NA;13424.00;29063.00;7099.00;2058.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5020108000.00;1995.00;Powiat kłodzki; jeleniogórsko-wałbrzyski;Dolnośląskie;208.00;1.00;2.00;8;1131.00;16481.00;22730.00;NA;NA;48116.00;107669.00;26882.00;6093.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5020209000.00;1995.00;Powiat legnicki; legnicki;Dolnośląskie;209.00;2.00;2.00;9;929.00;4637.00;4511.00;NA;NA;15544.00;31457.00;7641.00;2492.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5020110000.00;1995.00;Powiat lubański; jeleniogórsko-wałbrzyski;Dolnośląskie;210.00;1.00;2.00;10;317.00;6320.00;6139.00;NA;NA;16775.00;34865.00;8754.00;2878.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5020211000.00;1995.00;Powiat lubiński; legnicki;Dolnośląskie;211.00;2.00;2.00;11;670.00;12152.00;13550.00;NA;NA;30903.00;70812.00;8954.00;5838.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5020112000.00;1995.00;Powiat lwówecki; jeleniogórsko-wałbrzyski;Dolnośląskie;212.00;1.00;2.00;12;265.00;3543.00;4787.00;NA;NA;14556.00;29291.00;8027.00;2000.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5020313000.00;1995.00;Powiat milicki; wrocławski;Dolnośląskie;213.00;3.00;2.00;13;539.00;2492.00;3697.00;NA;NA;11351.00;20840.00;4691.00;1151.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5020314000.00;1995.00;Powiat oleśnicki; wrocławski;Dolnośląskie;214.00;3.00;2.00;14;853.00;10691.00;9202.00;NA;NA;30536.00;61315.00;12278.00;5170.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5020315000.00;1995.00;Powiat oławski; wrocławski;Dolnośląskie;215.00;3.00;2.00;15;693.00;7599.00;6849.00;NA;NA;20343.00;43477.00;7814.00;3609.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5020216000.00;1995.00;Powiat polkowicki; legnicki;Dolnośląskie;216.00;2.00;2.00;16;494.00;21133.00;5433.00;NA;NA;18459.00;36432.00;6016.00;2255.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5020117000.00;1995.00;Powiat strzeliński; jeleniogórsko-wałbrzyski;Dolnośląskie;217.00;1.00;2.00;17;912.00;2812.00;3878.00;NA;NA;12741.00;26526.00;6998.00;1633.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5020318000.00;1995.00;Powiat średzki; wrocławski;Dolnośląskie;218.00;3.00;2.00;18;500.00;2862.00;3586.00;NA;NA;13892.00;28383.00;6879.00;2152.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5020119000.00;1995.00;Powiat świdnicki; jeleniogórsko-wałbrzyski;Dolnośląskie;219.00;1.00;2.00;19;2008.00;25179.00;16077.00;NA;NA;45292.00;100728.00;22710.00;6218.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
